CourseID,PrereqCourseID,CourseRequirementType,Explanation
CAI4002,COP3514,Prereq,Introduction to Artificial Intelligence requires Program Design (min grade B)
CAI4002,CDA3103,Prereq,Introduction to Artificial Intelligence also requires Computer Organization (min grade B)
CAI4105,CAI4002,Prereq,Introduction to Machine Learning requires Introduction to Artificial Intelligence  (min grade C)
CAI4841,COP4530,Prereq,Computer Vision requires Data Structures
CAI4842,COP4530,Prereq,Image Processing Fundamentals requires Data Structures
CAP4034,COP3514,Prereq,Computer Animation Fundamentals requires Program Design (min grade B) 
CAP4034,COP4530,Prereq,Computer Animation Fundamentals requires Data Structures 
CAP4103,COP3514,Prereq,Mobile Biometrics requires Program Design (min grade B)
CAP4111,COP4530,Prereq,Introduction to Augmented and Virtual Reality requires Data Structures
CAP4136,COP3515,Prereq,Malware Analysis and Reverse Engineering requires Advanced Program Design
CAP4160,COP3514,Prereq,Brain-Computer Interfaces requires Program Design (min grade B)
CAP4628,COP4530,Prereq,Affective Computing requires Data Structures
CAP4637,COP4530,Prereq,Automated Reasoning and Theorem Proving requires Data Structures
CAP4641,COP4530,Prereq,Natural Language Processing requires Data Structures
CAP4662,COP4530,Prereq,Introduction to Robotics requires Data Structures
CAP4744,COP4530,Prereq,Interactive Data Visualization requires Data Structures
CAP4773,COP4530,Prereq,Social Media Mining requires Data Structures 
CAP4773,CDA3201,Prereq,Social Media Mining requires Computer Logic and Design 
CDA3103,COP2510,Prereq,Computer Organization requires Programming Concepts (min grade B)
CDA3201,CDA3103,Prereq,Computer Logic and Design requires Computer Organization (min grade B)
CDA3201,COP3514,Prereq,Computer Logic and Design also requires Program Design (min grade B)
CDA3201L,COP3514,Prereq,Computer Logic and Design Lab requires Program Design (min grade B)
CDA3201L,CDA3103,Prereq,Computer Logic and Design Lab also requires Computer Organization (min grade B)
CDA4021,COP3514,Prereq,Computing Circuits requires Program Design (min grade B)
CDA4021,CDA3103,Prereq,Computing Circuits also requires Computer Organization (min grade B)
CDA4203,CDA3201,Prereq,Computer System Design requires Computer Logic and Design (min grade C) 
CDA4203,CDA3201L,Prereq,Computer System Design requires Computer Logic and Design Lab (min grade C) 
CDA4205,CDA3201,Prereq,Computer Architecture requires Computer Logic and Design (min grade C) 
CDA4205,CDA3201L,Prereq,Computer Architecture requires Computer Logic and Design Lab (min grade C) 
CDA4205L,CDA3201,Prereq,Computer Architecture Lab requires Computer Logic and Design (min grade C)
CDA4213,CDA3201,Prereq,CMOS-VLSI Design requires Computer Logic and Design (min grade C) 
CDA4213,CDA3201L,Prereq,CMOS-VLSI Design requires Computer Logic and Design Lab (min grade C) 
CDA4253,CDA3201,Prereq,Field Programmable Gate Array System Design and Analysis requires Computer Logic and Design 
CDA4253,CDA3201L,Prereq,Field Programmable Gate Array System Design and Analysis also requires Computer Logic and Design Lab 
CDA4321,CDA3201,Prereq,Cryptographic Hardware and Embedded Systems requires Computer Logic and Design
CDA4322,CDA3201,Prereq,Principles of Secure Hardware Design requires Computer Logic and Design
CDA4322,CDA3201L,Prereq,Principles of Secure Hardware Design also requires Computer Logic and Design Lab
CDA4323,CDA3201,Prereq,Practical Hardware Security requires Computer Logic and Design (min grade C) 
CDA4323,CDA3201L,Prereq,Practical Hardware Security requires Computer Logic and Design Lab (min grade C) 
CDA4621,COP3514,Prereq,Control of Mobile Robots requires Program Design (min grade B)
CEN3722,COP3515,Prereq,Human Computer Interfaces for Information Technology requires Advanced Program Design
CEN4020,COP4530,Prereq,Software Engineering requires Data Structures (min grade C)
CEN4072,COP2510,Prereq,Software Testing requires Programming Concepts 
CEN4072,COP4530,Prereq,Software Testing requires Data Structures 
CGS3303,CGS1540,Prereq,IT Concepts requires Introduction to Databases
CGS3853,COP3515,Prereq,Web Systems for IT requires Advanced Program Design (min grade C)
CIS3213,COP2510,Prereq,Foundations of Cybersecurity requires Programming Concepts (min grade C)
CIS3213,CGS1540,Prereq,Foundations of Cybersecurity also requires Introduction to Databases (min grade B)
CIS3363,CIS3213,Prereq,Information Technology Systems Security requires Foundations of Cybersecurity 
CIS3363,COP2513,Prereq,Information Technology Systems Security requires Object Oriented Programming 
CIS3433,COP2510,Prereq,System Integration and Architecture for IT requires Programming Concepts (min grade C)
CIS4083,COP3515,Prereq,Cloud Computing for IT requires Advanced Program Design (min grade C)
CIS4200,COP3515,Prereq,Penetration Testing requires Advanced Program Design (min grade C)
CIS4212,COP4530,Prereq,Privacy-Preserving and Trustworthy Cyber-Infrastructures requires Data Structures
CIS4219,COP2513,Prereq,Human Aspects of Cybersecurity requires Object Oriented Programming
CIS4219,CIS3213,Prereq,Human Aspects of Cybersecurity also requires Foundations of Cybersecurity
CIS4345,COP3514,Prereq,Big Data Storage and Analysis with Hadoop requires Program Design (min grade B)
